depth_cm,core_year,core_month,sample,bulk_dens_210pb,acc_rate,year,se
37,2000,10,MX2,0.141916210970455,,,
39,2000,10,MX2,0.119672585944187,,,
41,2000,10,MX2,0.131390833577684,,,
43,2000,10,MX2,0.134052813677134,,,
45,2000,10,MX2,0.135700241811347,,,
47,2000,10,MX2,0.131289763466079,,,
49,2000,10,MX2,0.144403508208236,,,
51,2000,10,MX2,0.132684701174899,,,
53,2000,10,MX2,0.122124706736891,,,
55,2000,10,MX2,0.153932949550366,,,
57,2000,10,MX2,0.086850751781539,,,
59,2000,10,MX2,0.123540570500304,,,
61,2000,10,MX2,0.080666502814238,,,
63,2000,10,MX2,0.055454081304817,,,
1,2000,10,MX4,0.100623850266112,0.3729418571515890,1995.47056709606,0.190152060678396
3,2000,10,MX4,0.098396479892147,0.5336240012017530,1991.72260974126,0.482839304502350
5,2000,10,MX4,0.107741613020485,0.4190730121918670,1986.95017166528,0.792425082751858
7,2000,10,MX4,0.119967142780129,0.2025192960956530,1977.07456949523,0.869086501415602
9,2000,10,MX4,0.133135734399583,0.1621476508823580,1964.74013239967,1.607813281590940
11,2000,10,MX4,0.143131072454630,0.1934499011006620,1954.40153833154,3.841397540953800
13,2000,10,MX4,0.127635787777490,0.1912667840281840,1943.94493965885,4.585433610943600
15,2000,10,MX4,0.156641773529180,0.1801665320785320,1932.84409880385,7.551904225362190
17,2000,10,MX4,0.144555126749898,0.1512138518707420,1919.61779727620,11.558915378272200
19,2000,10,MX4,0.149242028589606,0.1724348630946420,1908.01921469199,18.744899272014600
21,2000,10,MX4,0.143094720381683,0.1119856921672910,1890.15979032006,30.533339171746800
23,2000,10,MX4,0.129883495830695,0.1772147065409780,1878.87404525388,60.857684751648500
25,2000,10,MX4,0.165827777252982,0.0848888799611216,1855.31383335197,66.459417093763400
27,2000,10,MX4,0.115963424470670,0.8429117280086390,1852.94110565873,67.462932674285100
29,2000,10,MX4,0.107692613352162,0.0796317214884224,1827.82548637263,83.266470325068700
31,2000,10,MX4,0.122371789701482,,,
33,2000,10,MX4,0.123405865130982,,,
35,2000,10,MX4,0.133993064982811,,,
37,2000,10,MX4,0.114377432602907,,,
39,2000,10,MX4,0.163013424314236,,,
41,2000,10,MX4,0.124373139182674,,,
43,2000,10,MX4,0.154406150756510,,,
45,2000,10,MX4,0.151295967595668,,,
47,2000,10,MX4,0.164578700676783,,,
49,2000,10,MX4,0.132517645375950,,,
51,2000,10,MX4,0.128460405266133,,,
53,2000,10,MX4,0.070027750454242,,,
55,2000,10,MX4,0.106447602685016,,,
57,2000,10,MX4,0.106224215156744,,,
59,2000,10,MX4,0.120466649210516,,,
61,2000,10,MX4,0.056590901436508,,,
